dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
June,20.406,25.98,48.41,0.01,25.75,0,35,166.0,95.0,2.5,0.4616,1
June,20.406,26.74,47.7,0.11,26.87,0,20,174.0,70.0,2.5,0.3113,0
June,20.406,25.35,48.83,0.03,25.62,1,34,156.0,63.0,5.0,1.20475,1
June,22.688,28.265,45.1,0.14,28.53,1,69,172.0,78.0,12.5,0.4449,1
June,22.688,27.75,48.57,0.11,27.5,0,20,195.0,62.0,20.0,0.60355,1
June,22.688,27.75,48.57,0.11,27.5,1,34,178.0,80.0,5.0,0.4449,1
June,22.688,27.75,48.57,0.11,27.5,1,20,175.0,80.0,20.0,0.4616,1
June,22.594,26.39,48.61,0.03,26.25,1,65,170.0,70.0,7.5,0.53675,1
June,23.0,27.92,43.9,0.03,28.12,0,31,166.0,60.0,5.0,0.5284,0
June,23.0,28.47,45.46,0.11,28.38,1,24,178.0,63.0,10.0,0.72045,-1
June,23.406,28.09,43.26,0.11,28.06,1,57,175.0,76.0,7.5,0.4616,0
June,23.406,27.2,43.96,0.04,27.31,0,41,170.0,60.0,7.5,0.4783000000000001,1
June,23.813,27.35,44.66,0.04,27.37,0,18,168.0,51.0,10.0,0.4616,1
June,23.906,28.37,44.13,0.11,28.38,0,25,175.0,55.0,10.0,0.3948,1
June,24.094,27.42,45.12,0.04,27.5,0,52,162.0,50.0,10.0,0.58685,1
June,23.906,28.775,40.98,0.13,28.97,0,26,165.0,53.0,7.5,0.4616,0
June,23.688,27.64,42.71,0.03,27.06,1,32,187.0,80.0,5.0,0.60355,1
June,24.5,28.46,40.98,0.12,28.38,0,50,172.0,98.0,10.0,0.4449,1
June,24.188,28.05,39.59,0.11,28.31,0,27,183.0,80.0,5.0,0.50335,1
June,25.094,27.1,41.61,0.01,26.69,1,27,183.0,92.0,2.5,0.4616,1
June,24.406,27.1,38.97,0.03,27.31,0,53,170.0,76.0,15.0,0.43655,1
June,24.094,28.45,40.67,0.15,28.5,1,18,180.0,63.0,2.5,0.7037500000000001,-1
June,25.406,27.015,38.230000000000004,0.16,28.939999999999998,0,30,176.0,90.0,5.0,0.83735,0
June,25.406,27.015,38.230000000000004,0.16,28.939999999999998,1,22,183.0,74.0,2.5,0.4616,0
June,25.406,27.015,38.230000000000004,0.16,28.939999999999998,0,24,174.0,55.0,2.5,0.3113,1
June,25.5,25.265,39.88,0.03,25.94,1,11,176.0,67.0,5.0,0.4115,1
June,25.5,26.515,38.71,0.21,28.5,0,30,171.0,57.0,7.5,0.7455,-1
June,25.5,24.765,39.59,0.03,25.56,1,14,168.0,80.0,12.5,0.4616,-1
