dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
1,17.8,22.06,58.19,0.28,22.31,1,26,176,84,22.5,0.6119,1
1,18.1,22.44,57.58,0.29,22.62,1,15,195,60,7.5,0.58685,-1
1,18.1,23.17,59.67,0.1,23.19,1,15,178,60,7.5,0.7622,1
1,18.3,22.39,54.95,0.08,22.75,0,19,167,55,52.5,1.18805,2
1,18.3,22.54,57.65,0.33,22.69,1,21,184,80,22.5,0.8791,1
1,18.4,21.98,57.36,0.26,22.13,1,47,185,86,7.5,0.4616,0
1,18.4,22.56,57.29,0.29,22.75,0,33,172,70,7.5,0.6703500000000001,0
1,18.1,23.67,48.364999999999995,0.255,23.810000000000002,1,18,200,100,7.5,0.9626,2
1,18.1,22.58,53.73,0.15,22.69,1,34,182,80,7.5,0.80395,1
1,18.1,22.6,53.66,0.1,22.75,1,43,176,95,7.5,0.8540500000000001,0
1,17.1,22.04,53.504999999999995,0.195,22.875,1,35,175,65,7.5,0.662,-2
1,16.6,20.58,63.02,0.22,20.62,1,38,186,78,7.5,1.18805,-2
1,16.41,21.935000000000002,55.010000000000005,0.175,22.25,1,26,178,65,7.5,1.10455,0
1,16.1,20.66,61.64,0.06,21.25,1,27,171,55,7.5,0.88745,-1
1,15.3,20.8,68.93,0.09,21.0,0,25,158,45,7.5,1.15465,1
1,15.3,21.950000000000003,58.015,0.14,22.09,1,36,179,110,7.5,0.62025,1
1,15.3,20.81,68.96,0.09,21.0,1,23,180,82,7.5,1.0795,2
1,15.1,20.87,67.16,0.26,20.81,1,25,184,80,22.5,0.60355,0
1,15.0,23.17,57.894999999999996,0.04,24.22,0,24,165,56,22.5,0.90415,0
1,15.0,22.015,59.125,0.15,22.12,0,34,150,50,7.5,0.60355,1
1,15.0,20.83,67.1,0.09,21.25,1,28,186,95,22.5,0.8958,-1
1,14.8,20.45,64.23,0.27,21.0,1,46,178,105,22.5,0.6954,1
1,14.8,20.86,62.54,0.06,21.19,1,24,190,89,7.5,0.72045,0
1,15.0,22.9,57.755,0.04,23.78,0,42,167,70,7.5,0.5451,0
