dataset,Outside Temperature,Avg. Temperature,Temperature difference,RH,va,Tg,Age,Male,Female,Height,Weight,Well-being,Duration,Icl,Alley,Window,y
August,17.7,21.33,2.64,57.75,0.23,20.25,31,0,1,160.0,64.0,1.0,7.5,0.82065,0,1,1
August,17.2,22.345,2.265,50.665000000000006,0.16499999999999998,22.125,30,1,0,180.0,81.0,2.0,22.5,0.4449,1,0,0
August,17.2,20.64,3.15,56.91,0.22,19.94,35,0,1,170.0,70.0,2.0,22.5,0.4198499999999999,0,1,1
August,17.5,20.53,3.29,59.42,0.23,19.94,73,1,0,176.0,70.0,1.0,7.5,0.7789,0,1,0
August,17.8,24.32,2.665,52.53,0.05,24.44,42,0,1,170.0,61.0,0.0,7.5,0.88745,1,0,1
August,17.6,22.505,2.235,50.575,0.175,21.965,65,1,0,181.0,91.0,1.0,22.5,0.90415,0,1,-1
August,17.6,22.225,2.275,49.34,0.7050000000000001,21.995,23,0,1,165.0,59.0,1.0,7.5,0.88745,1,0,0
August,17.6,20.89,3.43,55.66,0.13,20.94,23,0,1,160.0,55.0,2.0,22.5,0.7622,0,1,0
August,17.41,20.64,3.61,54.9,0.07,20.88,24,0,1,156.0,50.0,0.0,22.5,0.68705,1,0,-1
August,17.5,24.424999999999997,2.275,49.269999999999996,0.05,24.465,24,1,0,192.0,75.0,1.0,7.5,0.9626,1,0,1
August,17.5,21.56,2.96,58.55,0.25,21.19,58,0,1,157.0,60.0,1.0,7.5,0.7622,1,0,1
August,17.6,23.255000000000003,1.09,51.64,0.325,23.405,20,0,1,170.0,64.0,0.0,11.101973684210526,0.8958,0,1,0
August,17.9,24.925,1.56,48.93,0.07,25.310000000000002,48,1,0,180.0,77.0,0.0,52.5,0.8958,0,1,-1
August,17.7,21.98,2.36,53.05,0.07,22.06,13,0,1,160.0,47.0,2.0,22.5,0.98765,0,1,0
August,18.7,24.924999999999997,1.92,46.025,0.04,25.185,30,1,0,180.0,88.0,0.0,7.5,0.8958,1,0,1
August,18.7,22.3,2.55,52.29,0.1,22.5,29,1,0,181.0,69.0,1.0,22.5,0.70375,0,1,0
August,19.0,22.64,2.09,56.26,0.33,22.37,73,1,0,180.0,100.0,1.0,22.5,0.4616,0,1,0
August,19.0,23.3,1.62,56.99,0.18,23.12,45,0,1,170.0,100.0,1.0,7.5,0.6954,1,0,0
